x,y
-5,13.140516188809254
-4.99,13.14032483621678
-4.98,13.140132712384949
-4.97,13.139939815777732
-4.96,13.139746144895861
-4.95,13.139551698278078
-4.94,13.1393564745024
-4.93,13.139160472187456
-4.92,13.138963689993817
-4.91,13.138766126625402
-4.9,13.13856778083089
-4.89,13.138368651405173
-4.88,13.138168737190878
-4.87,13.137968037079874
-4.86,13.137766550014877
-4.85,13.137564274991046
-4.84,13.13736121105767
-4.83,13.137157357319843
-4.82,13.136952712940234
-4.81,13.13674727714087
-4.8,13.13654104920498
-4.79,13.136334028478878
-4.78,13.136126214373899
-4.77,13.135917606368384
-4.76,13.135708204009717
-4.75,13.13549800691641
-4.74,13.135287014780245
-4.73,13.135075227368455
-4.72,13.134862644525999
-4.71,13.13464926617784
-4.7,13.134435092331325
-4.69,13.134220123078608
-4.68,13.134004358599118
-4.67,13.133787799162118
-4.66,13.133570445129312
-4.65,13.133352296957504
-4.64,13.133133355201347
-4.63,13.132913620516145
-4.62,13.132693093660718
-4.61,13.132471775500356
-4.6,13.13224966700982
-4.59,13.132026769276436
-4.58,13.131803083503254
-4.57,13.131578611012277
-4.56,13.131353353247782
-4.55,13.131127311779704
-4.54,13.130900488307104
-4.53,13.13067288466173
-4.52,13.13044450281164
-4.51,13.130215344864922
-4.5,13.129985413073511
-4.49,13.129754709837053
-4.48,13.129523237706916
-4.47,13.129290999390227
-4.46,13.129057997754058
-4.45,13.128824235829667
-4.44,13.128589716816844
-4.43,13.12835444408836
-4.42,13.128118421194507
-4.41,13.127881651867721
-4.4,13.12764414002734
-4.39,13.127405889784432
-4.38,13.127166905446732
-4.37,13.126927191523686
-4.36,13.126686752731612
-4.35,13.126445593998927
-4.34,13.12620372047153
-4.33,13.12596113751825
-4.32,13.125717850736423
-4.31,13.125473865957588
-4.3,13.125229189253265
-4.29,13.124983826940845
-4.28,13.12473778558963
-4.27,13.124491072026933
-4.26,13.124243693344317
-4.25,13.123995656903936
-4.24,13.123746970344989
-4.23,13.123497641590287
-4.22,13.123247678852918
-4.21,13.12299709064304
-4.2,13.122745885774753
-4.19,13.12249407337312
-4.18,13.122241662881247
-4.17,13.121988664067509
-4.16,13.121735087032828
-4.15,13.121480942218117
-4.14,13.121226240411758
-4.13,13.120970992757208
-4.12,13.120715210760686
-4.11,13.120458906298957
-4.1,13.120202091627183
-4.09,13.119944779386856
-4.08,13.119686982613821
-4.07,13.119428714746347
-4.06,13.119169989633264
-4.05,13.118910821542162
-4.04,13.118651225167632
-4.03,13.118391215639548
-4.02,13.118130808531383
-4.01,13.117870019868528
-4,13.117608866136656
-3.99,13.11734736429006
-3.98,13.11708553175998
-3.97,13.116823386462919
-3.96,13.116560946808914
-3.95,13.116298231709738
-3.94,13.116035260587068
-3.93,13.115772053380528
-3.92,13.115508630555642
-3.91,13.115245013111672
-3.9,13.114981222589286
-3.89,13.114717281078082
-3.88,13.114453211223893
-3.87,13.114189036235885
-3.86,13.113924779893406
-3.85,13.113660466552554
-3.84,13.113396121152439
-3.83,13.113131769221084
-3.82,13.112867436880984
-3.81,13.112603150854191
-3.8,13.112338938467005
-3.79,13.112074827654094
-3.78,13.111810846962124
-3.77,13.111547025552747
-3.76,13.111283393204967
-3.75,13.111019980316788
-3.74,13.11075681790609
-3.73,13.110493937610691
-3.72,13.110231371687506
-3.71,13.109969153010752
-3.7,13.109707315069105
-3.69,13.109445891961734
-3.68,13.109184918393158
-3.67,13.1089244296668
-3.66,13.108664461677147
-3.65,13.108405050900457
-3.64,13.108146234383856
-3.63,13.107888049732761
-3.62,13.107630535096472
-3.61,13.107373729151853
-3.6,13.10711767108492
-3.59,13.106862400570256
-3.58,13.106607957748063
-3.57,13.106354383198727
-3.56,13.106101717914722
-3.55,13.105850003269676
-3.54,13.105599280984451
-3.53,13.105349593090015
-3.52,13.105100981886924
-3.51,13.10485348990122
-3.5,13.104607159836489
-3.49,13.104362034521882
-3.48,13.104118156855858
-3.47,13.103875569745348
-3.46,13.10363431604015
-3.45,13.10339443846219
-3.44,13.103155979529433
-3.43,13.102918981474051
-3.42,13.102683486154614
-3.41,13.102449534961883
-3.4,13.102217168717885
-3.39,13.101986427567917
-3.38,13.101757350865007
-3.37,13.101529977046527
-3.36,13.101304343502422
